Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality
SRB00003,Zemun,2013-10-16,TP,,0.09,mg/l,Fair
SRB00003,Zemun,2013-11-20,TP,,0.095,mg/l,Fair
SRB00003,Zemun,2013-12-18,TP,,0.07,mg/l,Fair
SRB00003,Zemun,2014-01-30,TP,,0.099,mg/l,Fair
SRB00003,Zemun,2014-02-19,TP,,0.132,mg/l,Fair
SRB00003,Zemun,2014-03-19,TP,,0.07,mg/l,Fair
SRB00003,Zemun,2014-04-16,TP,,0.057,mg/l,Fair
SRB00003,Zemun,2014-05-14,TP,,0.078,mg/l,Fair
SRB00003,Zemun,2014-06-25,TP,,0.122,mg/l,Fair
SRB00003,Zemun,2014-07-16,TP,,0.08,mg/l,Fair
SRB00003,Zemun,2014-08-20,TP,,0.102,mg/l,Fair
SRB00003,Zemun,2014-09-17,TP,,0.136,mg/l,Fair
SRB00003,Zemun,2014-10-15,TP,,0.101,mg/l,Fair
SRB00003,Zemun,2014-11-19,TP,,0.08,mg/l,Fair
SRB00003,Zemun,2014-12-24,TP,,0.1,mg/l,Fair
SRB00003,Zemun,2015-01-21,TP,,0.122,mg/l,Fair
SRB00003,Zemun,2015-02-18,TP,,0.067,mg/l,Fair
SRB00003,Zemun,2015-03-18,TP,,0.072,mg/l,Fair
SRB00003,Zemun,2015-04-15,TP,,0.081,mg/l,Fair
SRB00003,Zemun,2015-05-27,TP,,0.156,mg/l,Fair
SRB00003,Zemun,2015-06-17,TP,,0.084,mg/l,Fair
SRB00003,Zemun,2015-07-15,TP,,0.07,mg/l,Fair
SRB00003,Zemun,2015-08-21,TP,,0.09,mg/l,Fair
SRB00003,Zemun,2015-09-16,TP,,0.07,mg/l,Fair
SRB00003,Zemun,2015-10-21,TP,,0.1,mg/l,Fair
SRB00003,Zemun,2015-11-18,TP,,0.137,mg/l,Fair
SRB00003,Zemun,2015-12-16,TP,,0.096,mg/l,Fair
SRB00003,Zemun,2016-01-20,TP,,0.128,mg/l,Fair
SRB00003,Zemun,2016-02-18,TP,,0.272,mg/l,Fair
SRB00003,Zemun,2016-03-16,TP,,0.141,mg/l,Fair
SRB00003,Zemun,2016-04-20,TP,,0.121,mg/l,Fair
SRB00003,Zemun,2016-05-18,TP,,0.113,mg/l,Fair
SRB00003,Zemun,2016-06-15,TP,,0.092,mg/l,Fair
SRB00003,Zemun,2016-07-20,TP,,0.09,mg/l,Fair
SRB00003,Zemun,2016-08-24,TP,,0.116,mg/l,Fair
SRB00003,Zemun,2016-09-22,TP,,0.139,mg/l,Fair
SRB00003,Zemun,2016-10-19,TP,,0.063,mg/l,Fair
SRB00003,Zemun,2016-11-15,TP,,0.205,mg/l,Fair
SRB00003,Zemun,2016-12-21,TP,,0.098,mg/l,Fair
SRB00003,Zemun,2017-02-22,TP,,0.148,mg/l,Fair
SRB00003,Zemun,2017-03-15,TP,,0.101,mg/l,Fair
SRB00003,Zemun,2017-04-19,TP,,0.144,mg/l,Fair
SRB00003,Zemun,2017-05-17,TP,,0.106,mg/l,Fair
SRB00003,Zemun,2017-06-22,TP,,0.121,mg/l,Fair
