Station_ID,Station_Name,Date,river_discharge_m3s
SRB00001,Bezdan,2013-06-23,4829.59
SRB00001,Bezdan,2013-06-24,4719.63
SRB00001,Bezdan,2013-06-25,4741.42
SRB00001,Bezdan,2013-06-26,4987.84
SRB00001,Bezdan,2013-06-27,5570.86
SRB00001,Bezdan,2013-06-28,6179.16
SRB00001,Bezdan,2013-06-29,6455.54
SRB00001,Bezdan,2013-06-30,6308.57
SRB00001,Bezdan,2013-07-01,5941.92
SRB00001,Bezdan,2013-07-02,5519.78
SRB00001,Bezdan,2013-07-03,5175.07
SRB00001,Bezdan,2013-07-04,4919.39
SRB00001,Bezdan,2013-07-05,4665.59
SRB00001,Bezdan,2013-07-06,4455.56
SRB00001,Bezdan,2013-07-07,4414.7
SRB00001,Bezdan,2013-07-08,4445.31
SRB00001,Bezdan,2013-07-09,4435.09
SRB00001,Bezdan,2013-07-10,4354.12
SRB00001,Bezdan,2013-07-11,4186.94
SRB00001,Bezdan,2013-07-12,3980.07
SRB00001,Bezdan,2013-07-13,3792.15
SRB00001,Bezdan,2013-07-14,3646.54
SRB00001,Bezdan,2013-07-15,3530.83
SRB00001,Bezdan,2013-07-16,3434.58
SRB00001,Bezdan,2013-07-17,3302.7
SRB00001,Bezdan,2013-07-18,3146.75
SRB00001,Bezdan,2013-07-19,2991.27
SRB00001,Bezdan,2013-07-20,2856.59
SRB00001,Bezdan,2013-07-21,2740.57
SRB00001,Bezdan,2013-07-22,2647.5
SRB00001,Bezdan,2013-07-23,2569.4
SRB00001,Bezdan,2013-07-24,2505.11
SRB00001,Bezdan,2013-07-25,2448.06
SRB00001,Bezdan,2013-07-26,2392.32
SRB00001,Bezdan,2013-07-27,2332.46
SRB00001,Bezdan,2013-07-28,2284.6
SRB00001,Bezdan,2013-07-29,2248.05
SRB00001,Bezdan,2013-07-30,2222.31
SRB00001,Bezdan,2013-07-31,2196.86
SRB00001,Bezdan,2013-08-01,2171.7
SRB00001,Bezdan,2013-08-02,2181.73
SRB00001,Bezdan,2013-08-03,2300.44
SRB00001,Bezdan,2013-08-04,2448.06
SRB00001,Bezdan,2013-08-05,2459.37
SRB00001,Bezdan,2013-08-06,2364.92
SRB00001,Bezdan,2013-08-07,2242.88
SRB00001,Bezdan,2013-08-08,2151.78
SRB00001,Bezdan,2013-08-09,2088.3
SRB00001,Bezdan,2013-08-10,2054.89
SRB00001,Bezdan,2013-08-11,2045.45
SRB00001,Bezdan,2013-08-12,2073.91
SRB00001,Bezdan,2013-08-13,2227.44
SRB00001,Bezdan,2013-08-14,2575.32
SRB00001,Bezdan,2013-08-15,2823.88
SRB00001,Bezdan,2013-08-16,2785.12
SRB00001,Bezdan,2013-08-17,2641.41
SRB00001,Bezdan,2013-08-18,2505.11
SRB00001,Bezdan,2013-08-19,2381.32
SRB00001,Bezdan,2013-08-20,2253.24
SRB00001,Bezdan,2013-08-21,2132.04
SRB00001,Bezdan,2013-08-22,2036.04
SRB00001,Bezdan,2013-08-23,2017.37
SRB00001,Bezdan,2013-08-24,2146.83
SRB00001,Bezdan,2013-08-25,2305.75
SRB00001,Bezdan,2013-08-26,2337.84
SRB00001,Bezdan,2013-08-27,2316.39
SRB00001,Bezdan,2013-08-28,2327.09
SRB00001,Bezdan,2013-08-29,2476.42
SRB00001,Bezdan,2013-08-30,2823.88
SRB00001,Bezdan,2013-08-31,3117.89
SRB00001,Bezdan,2013-09-01,3333.26
SRB00001,Bezdan,2013-09-02,3426.68
SRB00001,Bezdan,2013-09-03,3287.52
SRB00001,Bezdan,2013-09-04,3046.89
SRB00001,Bezdan,2013-09-05,2836.92
SRB00001,Bezdan,2013-09-06,2709.19
SRB00001,Bezdan,2013-09-07,2605.15
SRB00001,Bezdan,2013-09-08,2459.37
SRB00001,Bezdan,2013-09-09,2305.75
SRB00001,Bezdan,2013-09-10,2171.7
SRB00001,Bezdan,2013-09-11,2073.91
SRB00001,Bezdan,2013-09-12,2031.36
SRB00001,Bezdan,2013-09-13,2069.14
SRB00001,Bezdan,2013-09-14,2237.72
SRB00001,Bezdan,2013-09-15,2499.35
SRB00001,Bezdan,2013-09-16,2721.7
SRB00001,Bezdan,2013-09-17,2909.72
SRB00001,Bezdan,2013-09-18,3096.42
SRB00001,Bezdan,2013-09-19,3279.95
SRB00001,Bezdan,2013-09-20,3638.15
SRB00001,Bezdan,2013-09-21,4254.98
SRB00001,Bezdan,2013-09-22,4840.72
SRB00001,Bezdan,2013-09-23,4896.79
SRB00001,Bezdan,2013-09-24,4569.88
SRB00001,Bezdan,2013-09-25,4177.3
SRB00001,Bezdan,2013-09-26,3827.25
SRB00001,Bezdan,2013-09-27,3514.6
SRB00001,Bezdan,2013-09-28,3227.49
SRB00001,Bezdan,2013-09-29,3005.08
SRB00001,Bezdan,2013-09-30,2903.02
SRB00001,Bezdan,2013-10-01,2963.83
SRB00001,Bezdan,2013-10-02,3060.96
SRB00001,Bezdan,2013-10-03,3025.91
SRB00001,Bezdan,2013-10-04,2889.68
SRB00001,Bezdan,2013-10-05,2765.94
SRB00001,Bezdan,2013-10-06,2659.72
SRB00001,Bezdan,2013-10-07,2539.97
SRB00001,Bezdan,2013-10-08,2408.91
SRB00001,Bezdan,2013-10-09,2289.87
SRB00001,Bezdan,2013-10-10,2207.01
SRB00001,Bezdan,2013-10-11,2166.7
SRB00001,Bezdan,2013-10-12,2141.89
SRB00001,Bezdan,2013-10-13,2141.89
SRB00001,Bezdan,2013-10-14,2263.64
SRB00001,Bezdan,2013-10-15,2623.22
SRB00001,Bezdan,2013-10-16,2963.83
SRB00001,Bezdan,2013-10-17,3025.91
SRB00001,Bezdan,2013-10-18,2936.65
SRB00001,Bezdan,2013-10-19,2876.4
SRB00001,Bezdan,2013-10-20,2950.21
SRB00001,Bezdan,2013-10-21,3096.42
SRB00001,Bezdan,2013-10-22,3103.56
SRB00001,Bezdan,2013-10-23,2970.67
SRB00001,Bezdan,2013-10-24,2791.54
SRB00001,Bezdan,2013-10-25,2617.18
SRB00001,Bezdan,2013-10-26,2476.42
SRB00001,Bezdan,2013-10-27,2381.32
SRB00001,Bezdan,2013-10-28,2348.63
SRB00001,Bezdan,2013-10-29,2370.37
SRB00001,Bezdan,2013-10-30,2381.32
SRB00001,Bezdan,2013-10-31,2327.09
SRB00001,Bezdan,2013-11-01,2248.05
SRB00001,Bezdan,2013-11-02,2217.2
SRB00001,Bezdan,2013-11-03,2295.15
SRB00001,Bezdan,2013-11-04,2453.71
SRB00001,Bezdan,2013-11-05,2534.13
SRB00001,Bezdan,2013-11-06,2516.68
SRB00001,Bezdan,2013-11-07,2534.13
SRB00001,Bezdan,2013-11-08,2635.33
SRB00001,Bezdan,2013-11-09,2791.54
SRB00001,Bezdan,2013-11-10,2998.16
SRB00001,Bezdan,2013-11-11,3227.49
SRB00001,Bezdan,2013-11-12,3348.66
SRB00001,Bezdan,2013-11-13,3387.44
SRB00001,Bezdan,2013-11-14,3418.79
SRB00001,Bezdan,2013-11-15,3466.37
SRB00001,Bezdan,2013-11-16,3426.68
SRB00001,Bezdan,2013-11-17,3279.95
SRB00001,Bezdan,2013-11-18,3089.3
SRB00001,Bezdan,2013-11-19,2909.72
SRB00001,Bezdan,2013-11-20,2746.89
SRB00001,Bezdan,2013-11-21,2599.16
SRB00001,Bezdan,2013-11-22,2482.13
SRB00001,Bezdan,2013-11-23,2403.36
SRB00001,Bezdan,2013-11-24,2364.92
SRB00001,Bezdan,2013-11-25,2420.03
SRB00001,Bezdan,2013-11-26,2563.48
SRB00001,Bezdan,2013-11-27,2709.19
SRB00001,Bezdan,2013-11-28,2936.65
SRB00001,Bezdan,2013-11-29,3154.01
SRB00001,Bezdan,2013-11-30,3146.75
SRB00001,Bezdan,2013-12-01,2977.52
SRB00001,Bezdan,2013-12-02,2759.58
SRB00001,Bezdan,2013-12-03,2545.83
SRB00001,Bezdan,2013-12-04,2375.84
SRB00001,Bezdan,2013-12-05,2248.05
SRB00001,Bezdan,2013-12-06,2151.78
SRB00001,Bezdan,2013-12-07,2059.63
SRB00001,Bezdan,2013-12-08,1971.42
SRB00001,Bezdan,2013-12-09,1900.08
SRB00001,Bezdan,2013-12-10,1848.27
SRB00001,Bezdan,2013-12-11,1831.31
SRB00001,Bezdan,2013-12-12,1861.09
SRB00001,Bezdan,2013-12-13,1917.67
SRB00001,Bezdan,2013-12-14,1994.26
SRB00001,Bezdan,2013-12-15,2050.16
SRB00001,Bezdan,2013-12-16,2045.45
SRB00001,Bezdan,2013-12-17,1975.97
SRB00001,Bezdan,2013-12-18,1895.71
SRB00001,Bezdan,2013-12-19,1818.7
SRB00001,Bezdan,2013-12-20,1748.85
SRB00001,Bezdan,2013-12-21,1689.44
SRB00001,Bezdan,2013-12-22,1635.82
SRB00001,Bezdan,2013-12-23,1591.21
SRB00001,Bezdan,2013-12-24,1558.55
SRB00001,Bezdan,2013-12-25,1533.62
SRB00001,Bezdan,2013-12-26,1512.56
SRB00001,Bezdan,2013-12-27,1498.69
SRB00001,Bezdan,2013-12-28,1498.69
SRB00001,Bezdan,2013-12-29,1537.15
SRB00001,Bezdan,2013-12-30,1662.41
SRB00001,Bezdan,2013-12-31,1861.09
SRB00001,Bezdan,2014-01-01,2064.38
SRB00001,Bezdan,2014-01-02,2166.7
SRB00001,Bezdan,2014-01-03,2151.78
SRB00001,Bezdan,2014-01-04,2078.7
SRB00001,Bezdan,2014-01-05,1994.26
SRB00001,Bezdan,2014-01-06,1904.46
SRB00001,Bezdan,2014-01-07,1839.77
SRB00001,Bezdan,2014-01-08,1810.34
SRB00001,Bezdan,2014-01-09,1806.17
SRB00001,Bezdan,2014-01-10,1806.17
SRB00001,Bezdan,2014-01-11,1827.1
SRB00001,Bezdan,2014-01-12,1839.77
SRB00001,Bezdan,2014-01-13,1818.7
SRB00001,Bezdan,2014-01-14,1781.38
SRB00001,Bezdan,2014-01-15,1748.85
SRB00001,Bezdan,2014-01-16,1748.85
SRB00001,Bezdan,2014-01-17,1765.04
SRB00001,Bezdan,2014-01-18,1781.38
SRB00001,Bezdan,2014-01-19,1789.61
SRB00001,Bezdan,2014-01-20,1802.02
SRB00001,Bezdan,2014-01-21,1827.1
SRB00001,Bezdan,2014-01-22,1852.53
SRB00001,Bezdan,2014-01-23,1878.32
SRB00001,Bezdan,2014-01-24,1900.08
SRB00001,Bezdan,2014-01-25,1939.89
SRB00001,Bezdan,2014-01-26,1998.86
SRB00001,Bezdan,2014-01-27,2036.04
SRB00001,Bezdan,2014-01-28,2012.72
SRB00001,Bezdan,2014-01-29,1948.84
SRB00001,Bezdan,2014-01-30,1886.99
SRB00001,Bezdan,2014-01-31,1831.31
SRB00001,Bezdan,2014-02-01,1777.28
SRB00001,Bezdan,2014-02-02,1732.8
SRB00001,Bezdan,2014-02-03,1697.24
SRB00001,Bezdan,2014-02-04,1689.44
SRB00001,Bezdan,2014-02-05,1712.96
SRB00001,Bezdan,2014-02-06,1756.92
SRB00001,Bezdan,2014-02-07,1802.02
SRB00001,Bezdan,2014-02-08,1827.1
SRB00001,Bezdan,2014-02-09,1869.68
SRB00001,Bezdan,2014-02-10,1962.36
SRB00001,Bezdan,2014-02-11,2064.38
SRB00001,Bezdan,2014-02-12,2146.83
SRB00001,Bezdan,2014-02-13,2253.24
SRB00001,Bezdan,2014-02-14,2392.32
SRB00001,Bezdan,2014-02-15,2510.89
SRB00001,Bezdan,2014-02-16,2551.7
SRB00001,Bezdan,2014-02-17,2534.13
SRB00001,Bezdan,2014-02-18,2487.86
SRB00001,Bezdan,2014-02-19,2453.71
SRB00001,Bezdan,2014-02-20,2425.61
SRB00001,Bezdan,2014-02-21,2392.32
SRB00001,Bezdan,2014-02-22,2381.32
SRB00001,Bezdan,2014-02-23,2381.32
SRB00001,Bezdan,2014-02-24,2381.32
SRB00001,Bezdan,2014-02-25,2386.81
SRB00001,Bezdan,2014-02-26,2364.92
SRB00001,Bezdan,2014-02-27,2311.07
SRB00001,Bezdan,2014-02-28,2232.57
SRB00001,Bezdan,2014-03-01,2146.83
SRB00001,Bezdan,2014-03-02,2059.63
SRB00001,Bezdan,2014-03-03,1971.42
SRB00001,Bezdan,2014-03-04,1895.71
SRB00001,Bezdan,2014-03-05,1839.77
SRB00001,Bezdan,2014-03-06,1810.34
SRB00001,Bezdan,2014-03-07,1802.02
SRB00001,Bezdan,2014-03-08,1797.87
SRB00001,Bezdan,2014-03-09,1793.73
SRB00001,Bezdan,2014-03-10,1802.02
SRB00001,Bezdan,2014-03-11,1831.31
SRB00001,Bezdan,2014-03-12,1852.53
SRB00001,Bezdan,2014-03-13,1831.31
SRB00001,Bezdan,2014-03-14,1785.49
SRB00001,Bezdan,2014-03-15,1728.82
SRB00001,Bezdan,2014-03-16,1685.55
SRB00001,Bezdan,2014-03-17,1654.77
SRB00001,Bezdan,2014-03-18,1650.96
SRB00001,Bezdan,2014-03-19,1689.44
SRB00001,Bezdan,2014-03-20,1806.17
SRB00001,Bezdan,2014-03-21,2036.04
SRB00001,Bezdan,2014-03-22,2248.05
SRB00001,Bezdan,2014-03-23,2343.23
SRB00001,Bezdan,2014-03-24,2370.37
SRB00001,Bezdan,2014-03-25,2386.81
SRB00001,Bezdan,2014-03-26,2470.72
SRB00001,Bezdan,2014-03-27,2721.7
SRB00001,Bezdan,2014-03-28,3046.89
SRB00001,Bezdan,2014-03-29,3132.29
SRB00001,Bezdan,2014-03-30,2977.52
SRB00001,Bezdan,2014-03-31,2778.71
SRB00001,Bezdan,2014-04-01,2605.15
SRB00001,Bezdan,2014-04-02,2476.42
SRB00001,Bezdan,2014-04-03,2375.84
SRB00001,Bezdan,2014-04-04,2305.75
SRB00001,Bezdan,2014-04-05,2268.86
SRB00001,Bezdan,2014-04-06,2253.24
SRB00001,Bezdan,2014-04-07,2268.86
SRB00001,Bezdan,2014-04-08,2300.44
SRB00001,Bezdan,2014-04-09,2337.84
SRB00001,Bezdan,2014-04-10,2386.81
SRB00001,Bezdan,2014-04-11,2482.13
SRB00001,Bezdan,2014-04-12,2641.41
