ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ActivityConductingOrganizationText,ActivityCommentText,SampleAquifer,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,ResultCommentText,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
nwismn.01.02200013,Sample-Routine,Water,Surface Water,2021-10-29,13:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05679A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.06,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-11-03,,0.02,mg/l as P,
nwismn.01.02200013,Sample-Routine,Water,Surface Water,2021-10-29,13:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05679A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.03,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-11-04,below the reporting level but at or above the detection level,0.02,mg/l as P,
nwismn.01.02200013,Sample-Routine,Water,Surface Water,2021-10-29,13:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05679A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,11.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-11-05,value extrapolated at low end,2.0,NTRU,
nwismn.01.02200013,Sample-Routine,Water,Surface Water,2021-10-29,13:00:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05679A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.199,mg/l,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-02-15,holding time exceededsee result laboratory comment,0.03,mg/l,
nwismn.01.02100144,Sample-Routine,Water,Surface Water,2021-04-21,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03780A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.08,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-05-05,,0.02,mg/l as P,
nwismn.01.02100144,Sample-Routine,Water,Surface Water,2021-04-21,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03780A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-05-05,,0.02,mg/l as P,
nwismn.01.02100144,Sample-Routine,Water,Surface Water,2021-04-21,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03780A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.191,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-06-24,,0.03,mg/l,
nwismn.01.02100144,Sample-Routine,Water,Surface Water,2021-04-21,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03780A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Turbidity,Total,17.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-04-29,value extrapolated at low end,2.0,NTRU,
nwismn.01.02100075,Sample-Routine,Water,Surface Water,2021-02-26,11:00:00,CST,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03775A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.04,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-03-10,,0.02,mg/l as P,
nwismn.01.02100075,Sample-Routine,Water,Surface Water,2021-02-26,11:00:00,CST,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03775A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.02,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-03-10,below the reporting level but at or above the detection level,0.02,mg/l as P,
nwismn.01.02100075,Sample-Routine,Water,Surface Water,2021-02-26,11:00:00,CST,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03775A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,Not Detected,Nitrogen,Suspended,,,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-05-10,,0.03,mg/l,
nwismn.01.02100075,Sample-Routine,Water,Surface Water,2021-02-26,11:00:00,CST,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03775A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Turbidity,Total,2.1,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-03-09,value extrapolated at low end,2.0,NTRU,
nwismn.01.02100241,Quality Control Sample-Field Replicate,Water,Surface Water,2021-08-23,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-05190A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.11,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-09-09,,0.02,mg/l as P,
nwismn.01.02100241,Quality Control Sample-Field Replicate,Water,Surface Water,2021-08-23,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-05190A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.07,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-09-09,,0.02,mg/l as P,
nwismn.01.02100241,Quality Control Sample-Field Replicate,Water,Surface Water,2021-08-23,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-05190A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.468,mg/l,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-12-06,holding time exceededsee result laboratory comment,0.03,mg/l,
nwismn.01.02100241,Quality Control Sample-Field Replicate,Water,Surface Water,2021-08-23,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-05190A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Turbidity,Total,19.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-09-01,value extrapolated at low end,2.0,NTRU,
nwismn.01.02200018,Sample-Routine,Water,Surface Water,2021-12-14,12:00:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05681A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.04,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-12-21,,0.02,mg/l as P,
nwismn.01.02200018,Sample-Routine,Water,Surface Water,2021-12-14,12:00:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05681A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.05,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-12-22,,0.02,mg/l as P,
nwismn.01.02200018,Sample-Routine,Water,Surface Water,2021-12-14,12:00:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05681A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.191,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2022-03-15,,0.03,mg/l,
nwismn.01.02200018,Sample-Routine,Water,Surface Water,2021-12-14,12:00:00,CST,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,ID-05681A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,2.8,NTRU,,Accepted,Estimated,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2022-01-07,holding time exceededvalue extrapolated at low endsee result laboratory comment,2.0,NTRU,
nwismn.01.02100169,Sample-Routine,Water,Surface Water,2021-06-28,11:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04373A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.11,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-07-07,,0.02,mg/l as P,
nwismn.01.02100169,Sample-Routine,Water,Surface Water,2021-06-28,11:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04373A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-07-08,,0.02,mg/l as P,
nwismn.01.02100169,Sample-Routine,Water,Surface Water,2021-06-28,11:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04373A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Turbidity,Total,18.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-07-02,value extrapolated at low end,2.0,NTRU,
nwismn.01.02100169,Sample-Routine,Water,Surface Water,2021-06-28,11:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04373A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.458,mg/l,,Accepted,Actual,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-11-01,holding time exceededsee result laboratory comment,0.03,mg/l,
nwismn.01.02100201,Sample-Routine,Water,Surface Water,2021-07-21,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04374A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.09,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-08-10,,0.02,mg/l as P,
nwismn.01.02100201,Sample-Routine,Water,Surface Water,2021-07-21,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04374A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-08-09,,0.02,mg/l as P,
nwismn.01.02100201,Sample-Routine,Water,Surface Water,2021-07-21,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04374A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.461,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-10-21,,0.03,mg/l,
nwismn.01.02100201,Sample-Routine,Water,Surface Water,2021-07-21,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04374A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Turbidity,Total,19.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-07-29,value extrapolated at low end,2.0,NTRU,
