Date,station_id,name,Satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,station_name
2019-03-18,5331580,Hastings,Landsat-8,0.2322725,0.22625,0.2432175,0.26244,0.0715899999999999,0.0657599999999999,,,,hastings
2019-03-18,5344500,Prescott,Landsat-8,0.137865,0.1718825,0.194295,0.2070275,0.1214474999999999,0.1074224999999999,,,,prescott
2019-03-18,5378500,Winona,Landsat-8,0.21349,0.2636775,0.3000875,0.3301175,0.2110425,0.1779049999999999,,,,winona
2019-03-18,5288500,Brooklyn_Park,Sentinel-2,0.2898,0.2934,0.3164,0.3272,0.0971,0.0782,0.3087,0.3184,0.3038,brooklynpark
2019-03-18,5331580,Hastings,Sentinel-2,0.1603,0.1837,0.1903,0.2055,0.0905,0.0813,0.2671,0.2598,0.2036,hastings
2019-03-18,5344500,Prescott,Sentinel-2,0.1142,0.1227,0.1618,0.2129,0.1225,0.1044,0.2131,0.2272,0.233,prescott
2019-03-18,5331000,St_Paul,Sentinel-2,0.1448,0.1338,0.1596,0.1642,0.0995,0.0832,0.2298,0.2016,0.1974,stpaul
2019-03-18,5288500,Brooklyn_Park,Sentinel-2,0.2844,0.2906,0.314,0.3256,0.0971,0.0781,0.3089,0.3176,0.3034,brooklynpark
2019-03-18,5378500,Winona,Sentinel-2,0.1052,0.1428,0.1368,0.1897,0.1047,0.096,0.175,0.1739,0.1864,winona
2019-03-18,5378500,Winona,Sentinel-2,0.1098,0.1475,0.1422,0.1923,0.1044,0.0959,0.1801,0.1781,0.1893,winona
2019-03-21,5288500,Brooklyn_Park,Sentinel-2,0.2628,0.2781,0.2826,0.304,0.0972,0.0779,0.278,0.287,0.2688,brooklynpark
2019-03-21,5331580,Hastings,Sentinel-2,0.119,0.1916,0.1586,0.202,0.1002,0.0836,0.2236,0.2048,0.2052,hastings
2019-03-21,5344500,Prescott,Sentinel-2,0.071,0.0995,0.1302,0.1828,0.1606,0.1373,0.148,0.1527,0.1676,prescott
2019-03-21,5331000,St_Paul,Sentinel-2,0.0626,0.0698,0.0956,0.1087,0.1155,0.0921,0.1755,0.1511,0.1544,stpaul
2019-03-21,5288500,Brooklyn_Park,Sentinel-2,0.2578,0.2744,0.2776,0.2987,0.0969,0.0784,0.2761,0.285,0.265,brooklynpark
2019-03-23,5288500,Brooklyn_Park,Sentinel-2,0.23,0.246,0.251,0.2928,0.1178,0.0968,0.2418,0.2443,0.2437,brooklynpark
2019-03-23,5331580,Hastings,Sentinel-2,0.1804,0.1888,0.1331,0.2016,0.1159,0.0997,0.1917,0.207,0.2174,hastings
2019-03-23,5344500,Prescott,Sentinel-2,0.1019,0.1041,0.1456,0.1847,0.2054,0.1763,0.1471,0.1494,0.171,prescott
2019-03-23,5331000,St_Paul,Sentinel-2,0.0806,0.0798,0.0968,0.131,0.142,0.1198,0.1412,0.1582,0.1621,stpaul
