date,water_temp_f,water_temp_c
2021-09-17,71.0,21.666666666666668
2021-09-18,71.0,21.666666666666668
2021-09-19,70.0,21.11111111111111
2021-09-20,72.0,22.22222222222222
2021-09-21,69.0,20.555555555555557
2021-09-22,68.0,20.0
2021-09-23,69.0,20.555555555555557
2021-09-24,69.0,20.555555555555557
2021-09-25,66.0,18.88888888888889
2021-09-26,65.0,18.333333333333332
2021-09-27,67.0,19.444444444444443
2021-09-28,67.0,19.444444444444443
2021-09-29,68.0,20.0
2021-09-30,69.0,20.555555555555557
2021-10-01,69.0,20.555555555555557
2021-10-02,70.0,21.11111111111111
2021-10-03,69.0,20.555555555555557
2021-10-04,68.0,20.0
2021-10-05,69.0,20.555555555555557
2021-10-06,69.0,20.555555555555557
2021-10-07,69.0,20.555555555555557
2021-10-08,69.0,20.555555555555557
2021-10-09,69.0,20.555555555555557
2021-10-10,70.0,21.11111111111111
2021-10-11,69.0,20.555555555555557
2021-10-12,67.0,19.444444444444443
2021-10-13,67.0,19.444444444444443
2021-10-14,65.0,18.333333333333332
2021-10-15,61.0,16.11111111111111
2021-10-16,60.0,15.555555555555555
2021-10-17,58.0,14.444444444444445
2021-10-18,60.0,15.555555555555555
2021-10-19,60.0,15.555555555555555
2021-10-20,61.0,16.11111111111111
2021-10-21,60.0,15.555555555555555
2021-10-22,57.0,13.88888888888889
2021-10-23,56.0,13.333333333333334
2021-10-24,55.0,12.777777777777779
2021-10-25,53.0,11.666666666666666
2021-10-26,54.0,12.222222222222221
2021-10-27,53.0,11.666666666666666
2021-10-28,53.0,11.666666666666666
2021-10-29,52.0,11.11111111111111
2021-10-30,52.0,11.11111111111111
2021-10-31,52.0,11.11111111111111
2021-11-01,49.0,9.444444444444445
2021-11-02,48.0,8.88888888888889
2021-11-03,48.0,8.88888888888889
2021-11-04,48.0,8.88888888888889
2021-11-05,48.0,8.88888888888889
2021-11-06,48.0,8.88888888888889
2021-11-07,48.0,8.88888888888889
2021-11-08,48.0,8.88888888888889
2021-11-09,48.0,8.88888888888889
2021-11-10,47.0,8.333333333333334
2021-11-11,48.0,8.88888888888889
2021-11-12,46.0,7.777777777777778
2021-11-13,44.0,6.666666666666667
2021-11-14,43.0,6.111111111111111
2021-11-15,42.0,5.555555555555555
2021-11-16,42.0,5.555555555555555
2021-11-17,41.0,5.0
2021-11-18,40.0,4.444444444444445
2021-11-19,37.0,2.7777777777777777
2021-11-20,38.0,3.3333333333333335
2021-11-21,38.0,3.3333333333333335
2021-11-22,37.0,2.7777777777777777
2021-11-23,36.0,2.2222222222222223
2021-11-24,38.0,3.3333333333333335
2021-11-25,37.0,2.7777777777777777
2021-11-26,36.0,2.2222222222222223
2021-11-27,35.0,1.6666666666666667
2021-11-28,36.0,2.2222222222222223
2021-11-29,36.0,2.2222222222222223
2021-11-30,36.0,2.2222222222222223
2021-12-01,38.0,3.3333333333333335
2021-12-02,38.0,3.3333333333333335
2021-12-03,39.0,3.888888888888889
2021-12-04,38.0,3.3333333333333335
2021-12-05,38.0,3.3333333333333335
